"","fishery_avg_exposure","sd","pctrank"
"CPS_warming",0.376543209876543,0.545039357509683,0.8
"dc_warming",0.289915966386555,0.448612731327384,0.6
"gf_warming",0.194736842105263,0.43938264742962,0.3
"hake_warming",0.207317073170732,0.499695028943874,0.4
"hms_warming",0.053921568627451,0.511776476700958,0
"salmon_warming",0.60431654676259,0.427644458785587,1
"scallop_warming",0.314814814814815,0.39584739066357,0.7
"urchin_warming",0.434426229508197,0.62233036400871,0.9
"shrimp_warming",0.160714285714286,0.382659863885111,0.2
"squid_warming",0.140350877192982,0.610579247554205,0.1
"other_warming",0.22972972972973,0.584458374558524,0.5
