Community,City,County,State
"ALAMEDA, CA",ALAMEDA,Alameda,CA
"ALAMO, CA",ALAMO,Contra Costa,CA
"ALBANY, CA",ALBANY,Alameda,CA
"ALHAMBRA, CA",ALHAMBRA,Los Angeles,CA
"ANAHEIM, CA",ANAHEIM,Orange,CA
"ANTIOCH, CA",ANTIOCH,Contra Costa,CA
"ARCATA, CA",ARCATA,Humboldt,CA
"ARROYO GRANDE, CA",ARROYO GRANDE,San Luis Obispo,CA
"ATASCADERO, CA",ATASCADERO,San Luis Obispo,CA
"AVALON, CA",AVALON,Los Angeles,CA
"BELL GARDENS, CA",BELL GARDENS,Los Angeles,CA
"BENICIA, CA",BENICIA,Solano,CA
"BERKELEY, CA",BERKELEY,Alameda,CA
"BETHEL ISLAND, CA",BETHEL ISLAND,Contra Costa,CA
"BLUE LAKE, CA",BLUE LAKE,Humboldt,CA
"BODEGA BAY, CA",BODEGA BAY,Sonoma,CA
"BOLINAS, CA",BOLINAS,Marin,CA
"BONITA, CA",BONITA,San Diego,CA
"BRENTWOOD, CA",BRENTWOOD,Contra Costa,CA
"BURLINGAME, CA",BURLINGAME,San Mateo,CA
"BYRON, CA",BYRON,Contra Costa,CA
"CAMARILLO, CA",CAMARILLO,Ventura,CA
"CAMBRIA, CA",CAMBRIA,San Luis Obispo,CA
"CAMPBELL, CA",CAMPBELL,Santa Clara,CA
"CARLSBAD, CA",CARLSBAD,San Diego,CA
"CARSON, CA",CARSON,Los Angeles,CA
"CAYUCOS, CA",CAYUCOS,San Luis Obispo,CA
"CHULA VISTA, CA",CHULA VISTA,San Diego,CA
"CLOVERDALE, CA",CLOVERDALE,Sonoma,CA
"CONCORD, CA",CONCORD,Contra Costa,CA
"CORONADO, CA",CORONADO,San Diego,CA
"CORTE MADERA, CA",CORTE MADERA,Marin,CA
"COSTA MESA, CA",COSTA MESA,Orange,CA
"COVINA, CA",COVINA,Los Angeles,CA
"CRESCENT CITY, CA",CRESCENT CITY,Del Norte,CA
"DALY CITY, CA",DALY CITY,San Mateo,CA
"DANA POINT, CA",DANA POINT,Orange,CA
"DANVILLE, CA",DANVILLE,Contra Costa,CA
"DEL MAR, CA",DEL MAR,San Diego,CA
"DILLON BEACH, CA",DILLON BEACH,Marin,CA
"DIXON, CA",DIXON,Solano,CA
"EL CAJON, CA",EL CAJON,San Diego,CA
"EL CERRITO, CA",EL CERRITO,Contra Costa,CA
"PASO ROBLES, CA",PASO ROBLES,San Luis Obispo,CA
"EL SEGUNDO, CA",EL SEGUNDO,Los Angeles,CA
"EL SOBRANTE, CA",EL SOBRANTE,Contra Costa,CA
"EMERYVILLE, CA",EMERYVILLE,Alameda,CA
"ENCINITAS, CA",ENCINITAS,San Diego,CA
"ESCONDIDO, CA",ESCONDIDO,San Diego,CA
