<<<<<<< Updated upstream
"","record","lobster","herring","menhaden","scallop","cod","haddock","pollock","halibut","white_hake","dabs","gray_sole","windowpane","yellowtail","winter_flounder","redfish","monkfish","skates","whiting","red_hake","red_crab","clams","squid","dogfish","summer_flounder","scup","black_seabass","other","species","lobster_income","herring_income","menhaden_income","scallop_income","cod_income","haddock_income","pollock_income","halibut_income","white_hake_income","dabs_income","gray_sole_income","windowpane_income","yellowtail_income","winter_flounder_income","redfish_income","monkfish_income","skates_income","whiting_income","red_hake_income","red_crab_income","clams_income","squid_income","dogfish_income","summer_flounder_income","scup_income","black_seabass_income","other_spp_income","inshore_gom","offshore_gom","gb","sne","lis","mid","other_region","other_region_descrip","homeport","port_zip","yrs_fishing","hometown","home_zip","yrs_residence","captain","vessel_owner","crew","other_role","other_role_descrip","crew_num","vessel","longline","midwater_trwl","bottom_trwl","trap","purse_seine","gillnet","rod_reel","other_gear","other_gear_descrip","other_fisheries","other_fisheries_descrip","income","age","gender","other_gender","tribe","ocean_temp","severe_weather","target_spp","other_change","other_obs_change","ability","explanation","lob_warming","lob_warming_conf","herr_warming","herr_warming_conf","men_warming","men_warming_conf","sclp_warming","sclp_warming_conf","cod_warming","cod_warming_conf","hadk_warming","hadk_warming_conf","polk_warming","polk_warming_conf","halbt_warming","halbt_warming_conf","wht_hake_warming","wht_hake_warming_conf","dabs_warming","dabs_warming_conf","gry_sole_warming","gry_sole_warming_conf","windowpane_warming","windowpane_warming_conf","yellowtail_warming","yellowtail_warming_conf","wnt_flnder_warming","wnt_flnder_warming_conf","redfish_warming","redfish_warming_conf","monkfish_warming","monkfish_warming_conf","skates_warming","skates_warming_conf","whiting_warming","whiting_warming_conf","red_hake_warming","red_hake_warming_conf","red_crab_warming","red_crab_warming_conf","clams_warming","clams_warming_conf","squid_warming","squid_warming_conf","dogfish_warming","dogfish_warming_conf","summer_flnder_warming","summer_flnder_warming_conf","scup_warming","scup_warming_conf","black_seabass_warming","black_seabass_warming_conf","other_warming","other_warming_conf","change_other_spp","other_spp_impact","range_change","range_change_descrp","timing_change","timing_change_descrp","spp_neg","spp_pos","warming_concern","oa_concern","storm_concern","sea_level_concern","weather_concern","h20_quality_concern","algal_concern","habitat_concern","think_warming","think_oa","think_storm","think_sea_level","think_weather","think_h20_quality","think_algal","think_habitat","pop_size_concern","bycatch_concern","value_concern","costs_concern","sa_concern","distance_concern","reg_concern","osw_concern","aqua_concern","think_pop_size","think_bycatch","think_value","think_costs","think_sa","think_distance","think_reg","think_osw","think_aqua","graying_fleet_concern","fish_comm_concern","resid_concern","infrastructure_concern","workforce_concern","think_graying_fleet","think_fish_comm","think_resid","think_infrastructure","think_workforce","phsy_health_concern","mental_health_concern","safe_at_sea_concern","family_concern","finance_concern","think_phsy_health","think_mental_health","think_safe_at_sea","think_family","think_finance","smoke","alcohol","believe","harm_me","harm_future","leave_fishing","risk","no_point","no_fish","recreational","other_fishery","internal","aquaculture","tourism","development","shipping","osw","fish_neg_wellbeing","fish_neg_health","fish_neg_mental","fish_increase_stress","env_neg_welbeing","env_neg_health","env_neg_mental","env_increase_stress","env_neg_safety","enc_child","identity","comm_support","generation","connect_env","connect_comm","money","plan","job_sat","effective_mgmt","data","find_crew","voice","climate_in_mgmt","equitable","opp_outside","opp_crew","new_fishery","nat_resource_job","other_job","loan","distance","strong_comm","climate_refugees","adapt_mgmt","const_reg","waterfront","covid_mkt","intl_trade","new_mkt","reliable_crew","fish_reg","quota","spp_dist","climate_chng","other_concern","other_concern_descrp","flexible_mgmt","noanswerq44_r1","sppt_climate_change","metrics","concern_future","list","uuid","source","date"
"1",76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,"Penobscot bay","Carvers harbor",4863,"25+","Vinalhaven",4863,"25+",1,0,0,0,NA,"1-3","25-35",0,0,0,1,0,1,0,0,NA,"no",NA,"none","40-50","male",NA,"no","increase","increase","no_change",NA,NA,"no_obs_change",NA,"slight_neg","low","strong_neg","med","no_effect","high","no_effect","high","no_effect","high","idk","NA","idk","NA","no_effect","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","slight_neg","low","idk","NA","idk","low","idk","NA","idk","NA","idk","NA","NA","NA","yes","Lobsters are being affected by invasion of green crab and other fish that are not normally found in Maine such as the trigger fish","yes","There has been more competition","no",NA,"I don’t think there is going to be just any one more than any other it is going to slowly change everything at some point.","No","somewhat","somewhat","somewhat","somewhat","somewhat","very","very","somewhat","occasionally","never","occasionally","occasionally","occasionally","occasionally","never","never","very","somewhat","none","very","very","none","very","very","somewhat","occasionally","never","occasionally","frequently","occasionally","never","occasionally","occasionally","never","none","somewhat","somewhat","somewhat","somewhat","occasionally","occasionally","occasionally","occasionally","occasionally","somewhat","none","somewhat","somewhat","very","occasionally","never","occasionally","occasionally","frequently","no","5-6","somewhat_agree","somewhat_agree","strongly_agree","somewhat_disagree","strongly_agree","neutral","neutral","strongly_disagree","neutral","neutral","neutral","strongly_disagree","somewhat_agree","neutral","neutral","neutral","somewhat_disagree","somewhat_disagree","somewhat_agree","neutral","I have not observed any changes","I have not observed any changes","I have not observed any changes","I have not observed any changes","neutral","strongly_agree","somewhat_agree","somewhat_agree","strongly_agree","somewhat_agree","somewhat_agree","strongly_disagree","somewhat_disagree","strongly_disagree","neutral","neutral","strongly_disagree","neutral","neutral","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","somewhat_agree","somewhat_agree","neutral",1,1,1,0,0,0,0,0,0,0,NA,NA,1,"Probably bigger boat more rope to go farther","I don’t know","None",2,"y2wyg8tqyr1xa2kp","O7c76mtxKn","07/07/2020 11:47"
"2",77,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,1,1,0,1,0,0,0,NA,"NEWINGTON",3801,"25+","LACONIA",3246,"25+",1,1,0,0,NA,"1-3","25-35",0,0,0,1,0,0,1,0,NA,"no",NA,"none","40-50","male",NA,"no","no_change","no_change","decrease",NA,NA,"no_obs_change",NA,"no_effect","med","idk","NA","idk","NA","idk","NA","strong_neg","high","slight_neg","high","strong_neg","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","no_effect","high","idk","NA","idk","NA","no_effect","high","strong_neg","high","idk","NA","no_effect","high","idk","NA","idk","NA","idk","NA","NA","NA","no",NA,"yes","LESS FISH THAN 30 YEARS AGO","no",NA,"GROUND FISH","NO","somewhat","somewhat","none","none","none","somewhat","somewhat","very","never","occasionally","never","occasionally","occasionally","occasionally","occasionally","occasionally","somewhat","somewhat","very","somewhat","very","very","very","none","none","frequently","frequently","frequently","frequently","frequently","frequently","frequently","frequently","frequently","very","very","very","very","very","frequently","frequently","frequently","frequently","frequently","none","none","somewhat","none","somewhat","occasionally","never","occasionally","never","occasionally","no","1-2","neutral","strongly_disagree","neutral","strongly_disagree","somewhat_agree","neutral","neutral","strongly_disagree","neutral","somewhat_agree","neutral","somewhat_agree","somewhat_agree","somewhat_agree","neutral","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_agree","somewhat_agree","neutral","somewhat_agree","strongly_agree","strongly_agree","neutral","neutral","strongly_agree","somewhat_disagree","strongly_agree","neutral","neutral","neutral","somewhat_disagree","somewhat_agree","somewhat_agree","neutral","neutral","neutral","neutral","strongly_disagree","neutral","neutral","neutral","neutral",1,0,0,0,0,1,1,0,0,0,NA,NA,1,"NONE","NONE","NO",4,"yd2cfxjgwy8ne5v1",NA,"07/07/2020 11:12"
"3",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Green crab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"Yarmouth Port",2675,"0-5","Yarmouth",2675,"25+",1,0,0,0,NA,"none","U25",0,0,0,1,0,0,0,0,NA,"no",NA,"50+","30-40","male",NA,"no","increase","increase","increase","increase","Softshell clam shell thickness ie ocean acidification","yes_pos","Climate change has helped the establishment of green crabs by stressing native populations in the mid-trophic community. As a hardy generalist theybhave thrived with less top down pressure from predators and I don’t even know what lower down scavengers they may be replacing but are there in numbers.","strong_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","no_effect","med","idk","NA","no_effect","low","idk","NA","idk","NA","idk","NA","strong_pos","high","yes","Loss of predators, especially tautog accounts for loss if pressure.","yes","Bait only, no market, then. Some food market, some bait market now.","no",NA,"Cold water species, surface pelagic cold water species.","Mid Atlantic species will move in: blue crab, horseshoe crab is more abundant - relatively - now. The generalists like green crab will be more appealing.","very","very","somewhat","somewhat","somewhat","somewhat","somewhat","very","frequently","frequently","occasionally","occasionally","occasionally","occasionally","occasionally","frequently","very","none","very","none","very","none","very","somewhat","very","occasionally","occasionally","never","occasionally","occasionally","never","occasionally","never","frequently","none","none","somewhat","none","none","occasionally","never","never","never","never","somewhat","none","somewhat","very","very","occasionally","never","occasionally","frequently","frequently","no","1-2","strongly_disagree","somewhat_disagree","somewhat_disagree","strongly_disagree","strongly_agree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","neutral","neutral","somewhat_agree","strongly_agree","strongly_disagree","strongly_disagree","neutral","somewhat_disagree","neutral","neutral","somewhat_agree","neutral","somewhat_agree","somewhat_agree","neutral","neutral","somewhat_agree","somewhat_agree","somewhat_agree","strongly_agree","somewhat_agree","strongly_disagree","strongly_disagree","somewhat_agree","neutral","somewhat_agree","strongly_agree","neutral","strongly_agree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","neutral","somewhat_agree","somewhat_agree","somewhat_disagree","neutral","strongly_disagree","strongly_disagree","somewhat_disagree",0,0,0,1,0,0,0,1,0,1,"Aquaculture","Online forum and comment submission to MADMF",0,"Responses from regulators","Detailed attention to species range","Has to become more insular to survive ie non-taxed resident cottage industry",1,"hnkf5kuv9cgaqah2","tBwdVqb3dU","07/07/2020 13:14"
"4",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,"Plum island sound and Essex glouster bay","Ipswich",1938,"25+","Ipswich",1938,"25+",0,1,0,0,NA,"4-7","U25",0,0,0,0,0,0,0,1,"Clamming rake","no",NA,"U10","60-70","male",NA,"yes","increase","increase","increase",NA,NA,"yes_pos","Seeding arrives annually niw","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_pos","high","strong_pos","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","NA","NA","yes","Muscles dying off sea worms dying off oysters increasing","yes","Better","no",NA,"Muscles","Oysters","very","very","somewhat","very","very","somewhat","none","somewhat","frequently","occasionally","frequently","frequently","occasionally","occasionally","never","occasionally","none","very","none","very","none","none","very","none","none","frequently","never","frequently","frequently","never","never","frequently","never","frequently","none","none","none","none","none","never","never","never","never","never","somewhat","none","somewhat","none","none","occasionally","never","occasionally","never","never","no","8+","somewhat_disagree","somewhat_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","somewhat_disagree","neutral","somewhat_agree","strongly_disagree","strongly_disagree","somewhat_agree","neutral","neutral","somewhat_agree","neutral","neutral","neutral","neutral","neutral","somewhat_agree","strongly_disagree","neutral","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","strongly_agree","somewhat_agree","somewhat_agree","neutral","somewhat_agree","somewhat_agree","neutral","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","somewhat_agree","somewhat_agree",0,1,0,0,0,1,1,0,0,0,NA,"Limited rainfall closures",0,"None","Water temperature","No",1,"gmjf4hg5nqgedtf9","nVzkNgyahY","07/07/2020 11:44"
"5",103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"Hampton",3842,"25+","Hampton",3842,"25+",1,1,0,0,NA,"none","U25",0,0,0,1,0,0,0,0,NA,"no",NA,"none","70+","male",NA,"no","increase","no_change","no_change",NA,NA,"no",NA,"slight_neg","high","idk","NA","slight_pos","high","idk","NA","strong_neg","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","slight_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","NA","NA","no",NA,"yes","The lobster fishery has basically collapsed south of Cape Cod.","yes","I am 85 and no longer fish in cold weather.","Lobsters, cod, smelt, softshell clams.","Can't think of any except green crabs.","very","very","somewhat","somewhat","somewhat","somewhat","very","very","frequently","occasionally","occasionally","frequently","frequently","occasionally","occasionally","occasionally","very","somewhat","none","very","somewhat","none","very","very","very","occasionally","occasionally","occasionally","frequently","occasionally","never","frequently","occasionally","occasionally","very","somewhat","somewhat","somewhat","somewhat","occasionally","occasionally","frequently","occasionally","occasionally","somewhat","none","none","none","none","frequently","occasionally","occasionally","never","occasionally","no","1-2","strongly_agree","somewhat_agree","strongly_agree","strongly_disagree","strongly_agree","somewhat_disagree","somewhat_disagree","neutral","neutral","neutral","somewhat_disagree","neutral","somewhat_disagree","strongly_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","somewhat_agree","strongly_agree","somewhat_agree","neutral","somewhat_agree","somewhat_agree","somewhat_disagree","neutral","strongly_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_disagree","neutral","strongly_disagree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","strongly_disagree","strongly_agree","neutral","somewhat_agree","somewhat_agree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","strongly_disagree","somewhat_disagree","neutral","strongly_disagree","strongly_agree",0,0,1,0,0,1,0,1,0,0,NA,"Balance historical sampling data with recent changes. Also stop managing to increase populations of fish that no longer want to live here!",0,"None.","Water temperature and acidity. Ocean current changes also.","No",4,"w43y2dpmd35664yw",NA,"07/07/2020 12:19"
"6",137,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"Hampton NH",3842,"25+","Hampton NH",3842,"25+",1,1,1,0,NA,"none","U25",0,0,0,1,0,0,1,0,NA,"no",NA,"50+","60-70","male",NA,"no","increase","increase","increase","increase","New species","yes_pos","I catch more tautog and black bass.","slight_pos","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","no_effect","med","idk","NA","strong_neg","high","slight_neg","med","idk","NA","strong_pos","high","NA","NA","no",NA,"no",NA,"yes","Warmer autumn.","Lobster","No","none","somewhat","very","very","very","very","very","very","occasionally","occasionally","frequently","frequently","frequently","frequently","frequently","frequently","somewhat","none","none","somewhat","somewhat","none","somewhat","somewhat","somewhat","occasionally","occasionally","occasionally","frequently","occasionally","never","occasionally","occasionally","occasionally","somewhat","somewhat","very","very","very","occasionally","occasionally","occasionally","occasionally","occasionally","very","very","very","very","very","frequently","frequently","frequently","frequently","frequently","no","NA","strongly_agree","neutral","strongly_agree","strongly_disagree","somewhat_disagree","neutral","neutral","somewhat_disagree","somewhat_disagree","somewhat_disagree","neutral","somewhat_agree","somewhat_agree","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","strongly_agree","strongly_agree","strongly_agree","strongly_agree","strongly_agree","strongly_agree","strongly_agree","somewhat_agree","strongly_agree","somewhat_agree","somewhat_agree","neutral","neutral","somewhat_agree","somewhat_agree","neutral","neutral","neutral","neutral","strongly_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree","somewhat_agree",1,1,0,0,0,1,0,0,0,0,NA,NA,1,"Subsidised flood insurance","Metrics?","No",4,"5myury4m4ngpap2b",NA,"07/07/2020 13:08"
"7",179,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,"Blackfish, bluefish, striped bass, many more",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,NA,"Quincy",2169,"25+","Rehoboth",2769,"5-15",1,1,1,1,"Cleaner upper/bill payer","none","25-35",0,0,0,0,0,0,1,0,NA,"no",NA,"25-50","60-70","male",NA,"no","no_change","no_change","decrease",NA,NA,"no",NA,"no_effect","med","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","idk","NA","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no_effect","high","no",NA,"yes","with winter flounder, The NEFMC has upped the GOM quota by 2 1/2 times *from 270 MT to 810 MT) what it was in 2012 so there is far more pressure on them.  The intent was to take pressure off the cod but in effect they simply destroyed yet another species.","no",NA,"ME!","NO","none","somewhat","none","none","none","somewhat","somewhat","very","never","occasionally","never","never","never","occasionally","occasionally","frequently","very","none","very","somewhat","very","somewhat","somewhat","none","none","frequently","frequently","never","occasionally","occasionally","never","occasionally","never","never","none","none","none","none","none","never","never","never","never","never","none","none","somewhat","none","somewhat","never","never","occasionally","never","occasionally","no","1-2","somewhat_disagree","somewhat_disagree","neutral","strongly_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","strongly_disagree","strongly_agree","somewhat_disagree","strongly_disagree","strongly_disagree","strongly_agree","somewhat_disagree","strongly_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_agree","neutral","neutral","strongly_agree","somewhat_disagree","somewhat_agree","strongly_agree","neutral","somewhat_agree","somewhat_agree","somewhat_agree","strongly_disagree","neutral","neutral","strongly_disagree","strongly_disagree","strongly_disagree","neutral","somewhat_agree","somewhat_disagree","neutral","strongly_agree","somewhat_agree","somewhat_disagree","strongly_disagree","strongly_disagree","neutral","neutral",0,0,0,0,0,1,1,0,0,1,"Allocation!","Give experience and observation at least as much weight as  science . Just because a fisherman does not have a PHD does not mean his/her observations are worthless!",0,"none","I've been watching my water temps for 40+ years and last week was the first time I saw and was effected by  excess warm water . In 2016 it was the opposite (I was positively effected by  excessively cool water ).  Is that climate change or variations in the norm? Isn't the climate always changing? Why do we need to put so much wordage and capitol in something so ambiguous?","1. Excess bycatch  2. Lack of ample  observer coverage  3. Too many draggers!",1,"gncc6rvun7kgvqtr","FoenSAFQjo","07/07/2020 14:53"
"8",183,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,NA,"Chatham",2659,"5-15","South Chatham",2659,"25+",1,1,0,0,NA,"1-3","25-35",1,0,0,0,0,0,0,0,NA,"no",NA,"none","U30","male",NA,"no","no_change","increase","no_change",NA,NA,"no_obs_change",NA,"idk","med","idk","NA","idk","NA","slight_neg","med","strong_neg","med","no_effect","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","no_effect","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","no_effect","high","idk","NA","idk","NA","idk","NA","NA","NA","no",NA,"yes","There’s very little ground fishing all skate and of fishing in summer and monk in winter","no",NA,"Groundfish","No","somewhat","somewhat","none","none","none","somewhat","very","somewhat","never","never","occasionally","never","occasionally","never","occasionally","occasionally","very","very","somewhat","very","somewhat","none","very","very","somewhat","occasionally","occasionally","frequently","occasionally","occasionally","never","occasionally","frequently","occasionally","somewhat","somewhat","somewhat","none","none","occasionally","occasionally","occasionally","never","frequently","somewhat","none","somewhat","none","somewhat","never","never","occasionally","occasionally","occasionally","yes","NA","somewhat_agree","neutral","somewhat_agree","strongly_disagree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","neutral","neutral","neutral","neutral","neutral","neutral","strongly_agree","neutral","neutral","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","neutral","strongly_agree","somewhat_agree","somewhat_agree","strongly_agree","strongly_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_agree","somewhat_agree","neutral","somewhat_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_agree","somewhat_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_agree","neutral","somewhat_agree","strongly_disagree",0,1,0,0,1,0,1,0,0,0,NA,NA,1,"None at the moment","Na","No",1,"eh36rd4z5p6f42mj","eqDxVfPOSC","07/07/2020 17:20"
"9",185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Striped bass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"Freeport",4032,"15-25","Freeport",4032,"0-5",1,1,0,0,NA,"none","U25",0,0,0,1,0,0,1,0,NA,"no",NA,"none","30-40","male",NA,"no","increase","no_change","decrease",NA,NA,"yes_neg","Striped bass are in decline, partially related to climate change. Lobsters are moving north and east","slight_neg","med","slight_neg","med","no_effect","med","idk","NA","strong_neg","high","no_effect","med","no_effect","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","med","slight_neg","med","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","high","slight_pos","med","no_effect","low","idk","NA","idk","NA","slight_pos","med","slight_neg","med","yes","Low herring landings means bait is more expensive.","yes","Lobsters have been more abundant in my core area.","no",NA,"Cod","Depends on what you are asking. Range shifts are good for some places and bad for others. Warmer water in GOM should mean more squid and black seabass, good for us","very","somewhat","somewhat","very","very","somewhat","very","very","frequently","occasionally","occasionally","frequently","frequently","occasionally","occasionally","occasionally","very","very","somewhat","very","somewhat","somewhat","somewhat","none","somewhat","frequently","occasionally","frequently","frequently","frequently","occasionally","occasionally","occasionally","occasionally","very","somewhat","somewhat","very","very","frequently","occasionally","occasionally","frequently","frequently","very","none","somewhat","none","somewhat","frequently","never","occasionally","never","occasionally","no","3-4","strongly_agree","strongly_agree","strongly_agree","somewhat_disagree","strongly_agree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_agree","somewhat_agree","somewhat_agree","strongly_disagree","somewhat_agree","somewhat_agree","strongly_disagree","I have not observed any changes","I have not observed any changes","I have not observed any changes","I have not observed any changes","I have not observed any changes","I have not observed any changes","somewhat_agree","somewhat_agree","somewhat_disagree","somewhat_agree","somewhat_agree","somewhat_agree","neutral","strongly_agree","somewhat_agree","somewhat_agree","somewhat_disagree","somewhat_agree","somewhat_disagree","neutral","neutral","somewhat_agree","strongly_agree","somewhat_disagree","somewhat_disagree","neutral","strongly_disagree","somewhat_agree","strongly_agree","neutral","somewhat_agree","neutral","somewhat_disagree","neutral","neutral",0,1,1,0,0,1,0,0,0,0,NA,NA,1,"Un known","Data needs to be shared in a meaningful, easy to understand way","The lobster industry is severely over-capitalized and reliant on high volume to make up for low value--this is not a sustainable model in light of climate change",2,"e4a0351jmqdhr58k","mQV7dKIVsY","07/07/2020 14:45"
"10",193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,0,0,0,1,0,0,NA,"Groton",6340,"25+","Bozrah",6340,"25+",1,1,0,0,NA,"none","U25",0,0,0,0,0,0,1,0,NA,"no",NA,"50+","50-60","male",NA,"no","decrease","decrease","decrease",NA,NA,"yes_pos","Water Temps have been very slow to come up. Seems like were 45 days behind and then its to late it over. Saw 70 degrees only 6 days last year.","idk","NA","idk","NA","idk","NA","no_effect","high","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","idk","NA","strong_neg","high","no_effect","high","idk","NA","no_effect","med","strong_neg","high","slight_neg","high","slight_pos","high","NA","NA","no",NA,"yes","Fish Size and Limits are way down.  Hard to find Draggers are killing fishing grounds.","yes","seems like were 30 to 45 days behind in weather and water temp","Summer Fluke","Black Sea Bass","none","somewhat","none","none","none","very","very","very","occasionally","never","never","occasionally","occasionally","frequently","occasionally","frequently","very","somewhat","none","somewhat","none","none","very","somewhat","none","frequently","never","occasionally","occasionally","never","never","occasionally","occasionally","never","somewhat","none","none","none","none","occasionally","never","never","never","frequently","somewhat","none","very","very","none","occasionally","never","frequently","frequently","never","no","NA","somewhat_agree","neutral","strongly_agree","strongly_disagree","strongly_agree","strongly_agree","strongly_agree","strongly_disagree","strongly_agree","neutral","neutral","neutral","neutral","neutral","neutral","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","somewhat_disagree","strongly_agree","somewhat_agree","strongly_agree","somewhat_agree","strongly_agree","strongly_agree","strongly_agree","somewhat_agree","strongly_agree","strongly_disagree","somewhat_agree","strongly_disagree","somewhat_disagree","somewhat_agree","somewhat_disagree","strongly_disagree","neutral","strongly_disagree","strongly_agree","strongly_disagree","strongly_disagree","strongly_disagree","somewhat_disagree","neutral","strongly_agree","strongly_agree",0,0,0,1,0,1,1,0,0,0,NA,"several ideas , Have the Limited Commercial guy able to sell there daily limit per state laws to help defray cost. IE: Fluke, Sea Bass , Scup    so angler can sell w/o endorsements. If states limit is 5 a day they can sell only 5 a day et.",0,"I want help cleaning up those Balloons I pick 50 a week while im out there .","n/a","We need real surveys not some phone in and some dock surveys .",5,"xu38yvjm1pe1mnfc","TEPP0FyVhF","07/07/2020 15:01"
