warming_concern,oa_concern,storm_concern,sea_level_concern,weather_concern,h20_quality_concern,algal_concern,habitat_concern,pop_size_concern,bycatch_concern,value_concern,costs_concern,sa_concern,distance_concern,reg_concern,graying_fleet_concern,fish_comm_concern,resid_concern,infrastructure_concern,,,recreational,other_fishery,internal,aquaculture,hatcheries,tourism,development,spatial,
somewhat,very,somewhat,somewhat,somewhat,very,very,very,very,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,none,somewhat,,,somewhat_disagree,somewhat_disagree,neutral,somewhat_disagree,neutral,somewhat_agree,neutral,neutral,
very,somewhat,very,somewhat,somewhat,very,somewhat,very,very,very,very,somewhat,very,somewhat,very,somewhat,somewhat,somewhat,none,,,neutral,strongly_agree,somewhat_agree,strongly_agree,strongly_disagree,neutral,somewhat_disagree,strongly_agree,
somewhat,somewhat,none,none,none,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,,,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,
very,very,somewhat,very,very,very,very,very,very,somewhat,very,very,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,somewhat,,,somewhat_disagree,somewhat_agree,neutral,neutral,strongly_disagree,somewhat_disagree,strongly_agree,somewhat_agree,
none,none,none,somewhat,somewhat,none,none,none,very,very,very,somewhat,somewhat,none,very,none,none,none,very,,,strongly_disagree,somewhat_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,
somewhat,very,somewhat,somewhat,somewhat,very,very,very,very,somewhat,none,somewhat,somewhat,none,somewhat,none,very,somewhat,none,,,strongly_agree,strongly_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,
none,none,none,none,none,none,none,none,very,very,very,very,very,none,very,somewhat,somewhat,none,somewhat,,,somewhat_agree,somewhat_disagree,somewhat_agree,neutral,somewhat_disagree,strongly_agree,somewhat_agree,strongly_agree,
very,very,very,very,very,very,very,very,very,very,very,very,somewhat,very,very,somewhat,somewhat,somewhat,somewhat,,,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,
very,very,very,very,very,very,very,very,somewhat,very,very,very,somewhat,very,very,somewhat,somewhat,none,somewhat,,,strongly_agree,somewhat_agree,somewhat_agree,strongly_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,strongly_agree,
somewhat,somewhat,very,somewhat,somewhat,somewhat,very,very,very,very,somewhat,very,very,very,very,somewhat,very,very,very,,,strongly_disagree,strongly_disagree,somewhat_agree,strongly_agree,somewhat_agree,somewhat_agree,strongly_agree,strongly_agree,
somewhat,somewhat,none,none,none,somewhat,somewhat,somewhat,somewhat,very,none,very,somewhat,somewhat,very,very,somewhat,somewhat,somewhat,,,strongly_agree,neutral,somewhat_agree,somewhat_agree,neutral,neutral,somewhat_agree,somewhat_agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ocean warming,OA,severe storms,SLR,weather patterns,water quality,HABS,habitat,size of fish populations,bycatch,landed value,operational costs,stock assessment,time to fishing grounds,regulations,aging labor force,fishing community cohesion,residential community cohesion,coastal and port infrastructure,,,Recreational fisheries,Other commerical fisheries,Interal conflict in my fishery,aqauculture,hatcheries,tourism,coastal developent,other ocean uses
very concerned,4,5,4,3,3,6,6,7,8,7,6,6,3,3,7,1,2,1,2,,strongly agree,3,1,0,3,0,1,2,4
somewhat concerned,5,4,3,5,5,3,3,2,3,4,3,5,8,5,4,8,8,6,7,,agree,1,2,6,2,1,3,4,2
not at all concerned,2,2,4,3,3,2,2,2,0,0,2,0,0,3,0,2,1,4,2,,neutral,3,3,4,4,4,4,3,3
,,,,,,,,,,,,,,,,,,,,,disagree,2,3,0,1,3,2,1,1
,,,,,,,,,,,,,,,,,,,,,strongly disagree,2,2,1,1,3,1,1,1
