homeport,hometown,home_zip
Seattle,Tacoma,98335
Bellingham,Bellingham,98225
Bellingham,My vernon,98274
Aberdeen,aberdeen,98520
Gig Harbor,Tacoma,98407
Aberdeen,Aberdeen Wa,98520
Bellingham,Bellingahm,98226
Bellingham,Bellingham,98225
La Push/Quileute Reservation,Onalaska,98570
Anacortes,Anacortes,98221
Seattle,Seattle,98199
Seattle,Seattle,98125
Ilwaco,Ilwaco,98624
Bellingham,Bellingham,98226
Brookings,Stayton,97383
Westport,Westport,98595
Astoria,"Longview, Washington",98632
Clatskanie,"Clatskanie,Oregon",97016
Garibaldi,Dallas,97338
Brookings,Brookings,97415
Union,Shelton,98584
Warrenton,Cathlamet,98612
Ilwaco,Long Beach WA,98631
South Bend,Chehalis,98532
Ilwaco,Grays river,98621
Bremerton,Reedsport,97467
Newport,"Seal Rock,OR",97376
Westport,Snoqualmie/Westport,98065
Willapa,Raymond,98577
Langley,Oak harbor,98277
Port Angeles,Port Angeles,98362
Skamokawa Valley,Skamokawa,98647
Cathlamet,Cathlamet wa,98612
Everett,Lynnwood,98087
Coos Bay,Coquille,97423
Lummi Island,Lummi Island,98262
Winchester Bay,North Bend,97459
Lummi Island,"Lummi Island ,Wa",98262
Neah Bay,Port Angeles,98362
Tacoma,Kent,98032
Westport,westport,98595
Ilwaco,"Chinook, WA.",98614
Bellingham,Ferndale,98248
Port Angeles,Port Angeles,98362
Newport,New port,98365
Seattle,normandy park,98166
Anacortes,Burlington,98233
Bellingham,Bellingham,98226
Westport,Vancouver,98642
Ilwaco,Rosburg,98643
Chinook,Ilwaco wa,98624
Pacific City,"Wilsonville, OR",97070
Warrenton,astoria,97103
Ilwaco,Astoria,97103
Westport,Westport,98595
Westport,Westport,98595
Fort Bragg,Leggett,95585
Westport,Aberdeen,98520
Blaine,blaine,98230
Bremerton,North Bend,97459
Bellingham,Ferndale,98248
Stuart Island,Stuart island,98250
Anacortes,Lynnwood,98036
Morro Bay,"Morro Bay, Ca.",93442
Quilcene,"Quilcene, WA",98376
Port Gamble Tribal Community,Kingston,98346
Astoria,Cathlamet Washington,98612
Chinook,"sammamish, warrenton",98074
Longview,Rochester,98579
Neah Bay,Seattle,98166
Bellingham,sedro woolley,98284
Seattle,King salmon,99613
Westport,Westport,98595
Port Townsend,Port Townsend,98368
Tokeland,"Grayland, WA",98547
Gig Harbor,Gig Harbor,98332
Tacoma,Tacoma,98405
Gig Harbor,Gig harbor wa,98335
Aberdeen,Aberdeen,98520
Warrendale,warrendale,97014
Tacoma,Gig Harbor,98335
Astoria,Astoria,97103
Bellingham,Ferndale,98248
Astoria,Astoria,97103
Westport,"Bellingham,",98225
Anacortes,Anacortes,98221
Westport,WESTPORT,98595
Port Townsend,Port Townsend,98368
Winchester Bay,Reedsport,97467
Fisherman’s Bay,Lopez Island,98261
Warrenton,Astoria Oregon,97103
Clatskanie,"clatskanie, or",97016
Portland,Portland,97231
Gig Harbor,Gig Harbor,98335
Lopez Island,Lopez Island,98261
Bodega Bay,Zamora,95698
Astoria,newport beach,92663
Astoria,Astoria,97103
Astoria,Astoria,97103
Tokeland,Tokeland,98590
Lopez Island,"Lopez Island, Washington",98261
Astoria,Seaside,97138
Tokeland,Grayland,98547
Ilwaco,Kalama,98625
Seattle,bellevue,98008
Ilwaco,Ilwaco,98624
Port Orford,Port Orford,97465
Poulsbo,"Silverdale, WA",98383
Garibaldi,Beaverton,97008
Port Angeles,Port Angeles,98362
Cosmopolis,Cosmopolis,98537
Port Angeles,Poulsbo,98370
Anacortes,Anacortes,98221
Bellingham,Maple Falls,98266
Anacortes,Anacortes,98221
Seattle,Renton,98058
Astoria,astoria,97103
Seattle,Nyssa,97913
Crescent City,Crescent city,95531
Anacortes,Burlington,98233
Chinook,Chinook,98614
Newport,Newport,97365
Warrenton,warrenton,97146
La Push/Quileute Reservation,Forks,98331
Gig Harbor,"Gig Harbor, WA",98335
Anacortes,anacortes wa,98221
Morro Bay,Morro Bay,93442
Gig Harbor,gig Harbor,98335
Bodega Bay,Sonoma,95476
Newport,Eugene OR,97402
Coos Bay,Santa Maria,93455
San Francisco,San Anselmo,94960
Crescent City,Eureka California,95503
Fort Bragg,fort bragg,95437
Fort Bragg,FORT BRAGG,95437
Bodega Bay,Bodega Bay,94923
Eureka,Eureka,95501
Shelter Cove,Shelter Cove,95589
San Diego,Encinitas,92024
Eureka,Arcata,95521
Eureka,Eureka,95501
Bodega Bay,Bodega Bay,94923
Bodega Bay,Bodega bay,94923
San Francisco,SanFrancisco,94121
Eureka,fairhaven,95564
Sausalito,"south san francisco,CA",94080
Fort Bragg,Fort Bragg,95437
Santa Barbara,Carpinteria,93013
Santa Barbara,Santa Barbara,93109
Brookings,Brookings,97415
Albion,albion,95410
Half Moon Bay,"El Granada,Ca",94018
San Francisco,Oakland,94601
Oxnard,Newbury Park,91320
Warrenton,astoria,97103
Eureka,Eureka,95501
Morro Bay,Ventura,93001
Los Angeles,Redondo Beach,90277
Point Arena,Citrus Heights,95621
Oxnard,Chino Hills,91709
Albion,Mendocino,95460
Monroe,Sultan,98294
