State,date,New Cases,7-Day Moving Avg,Total Case Rate per 100k
Washington,2020-12-31,3065,1881,3215.1
Washington,2020-12-30,1561,1816,3174.8
Washington,2020-12-29,2114,1842,3154.3
Washington,2020-12-28,1206,1832,3126.6
Washington,2020-12-27,944,1859,3110.7
Washington,2020-12-26,1309,2017,3098.3
Washington,2020-12-25,2970,2251,3081.1
Washington,2020-12-24,2608,2361,3042.1
Washington,2020-12-23,1749,2300,3007.9
Washington,2020-12-22,2044,2302,2984.9
Washington,2020-12-21,1389,2274,2958.1
Washington,2020-12-20,2050,2416,2939.8
Washington,2020-12-19,2948,2632,2912.9
Washington,2020-12-18,3744,2643,2874.2
Washington,2020-12-17,2181,2524,2825
Washington,2020-12-16,1763,2644,2796.4
Washington,2020-12-15,1845,2838,2773.2
Washington,2020-12-14,2387,3364,2749
Washington,2020-12-13,3560,3488,2717.7
Washington,2020-12-12,3023,3263,2670.9
Washington,2020-12-11,2914,3147,2631.2
Washington,2020-12-10,3018,2984,2592.9
Washington,2020-12-09,3124,3029,2553.3
Washington,2020-12-08,5524,2907,2512.3
Washington,2020-12-07,3256,2433,2439.7
Washington,2020-12-06,1983,2298,2397
Washington,2020-12-05,2214,2279,2370.9
Washington,2020-12-04,1769,2318,2341.9
Washington,2020-12-03,3336,2429,2318.6
Washington,2020-12-02,2268,2370,2274.8
Washington,2020-12-01,2210,2426,2245
Washington,2020-11-30,2311,2706,2216
Washington,2020-11-29,1849,2783,2185.7
Washington,2020-11-28,2487,2845,2161.4
Washington,2020-11-27,2548,2788,2128.7
Washington,2020-11-26,2923,2749,2095.3
Washington,2020-11-25,2654,2571,2056.9
Washington,2020-11-24,4172,2436,2022
Washington,2020-11-23,2849,2147,1967.3
Washington,2020-11-22,2286,2115,1929.8
Washington,2020-11-21,2085,2048,1899.8
Washington,2020-11-20,2278,2104,1872.4
Washington,2020-11-19,1677,2073,1842.5
Washington,2020-11-18,1706,2092,1820.5
Washington,2020-11-17,2148,2067,1798.1
Washington,2020-11-16,2629,1961,1769.9
Washington,2020-11-15,1816,1776,1735.4
Washington,2020-11-14,2480,1738,1711.5
Washington,2020-11-13,2060,1642,1678.9
Washington,2020-11-12,1807,1547,1651.9
Washington,2020-11-11,1531,1522,1628.2
Washington,2020-11-10,1407,1434,1608.1
Washington,2020-11-09,1335,1345,1589.6
Washington,2020-11-08,1550,1312,1572.1
Washington,2020-11-07,1807,1214,1551.7
Washington,2020-11-06,1397,1099,1528
Washington,2020-11-05,1631,1051,1509.6
Washington,2020-11-04,912,931,1488.2
Washington,2020-11-03,789,904,1476.2
Washington,2020-11-02,1102,874,1465.9
Washington,2020-11-01,861,803,1451.4
Washington,2020-10-31,1001,783,1440.1
Washington,2020-10-30,1067,787,1426.9
Washington,2020-10-29,787,736,1412.9
Washington,2020-10-28,725,733,1402.6
Washington,2020-10-27,576,738,1393.1
Washington,2020-10-26,605,727,1385.5
Washington,2020-10-25,725,707,1377.6
Washington,2020-10-24,1027,691,1368
Washington,2020-10-23,712,673,1354.6
Washington,2020-10-22,766,673,1345.2
Washington,2020-10-21,761,662,1335.1
Washington,2020-10-20,493,654,1325.2
Washington,2020-10-19,470,651,1318.7
Washington,2020-10-18,611,670,1312.5
Washington,2020-10-17,898,680,1304.5
Washington,2020-10-16,714,629,1292.7
Washington,2020-10-15,691,635,1283.3
Washington,2020-10-14,707,653,1274.2
Washington,2020-10-13,466,609,1265
Washington,2020-10-12,606,610,1258.8
Washington,2020-10-11,683,582,1250.9
Washington,2020-10-10,538,557,1241.9
Washington,2020-10-09,758,597,1234.8
Washington,2020-10-08,813,574,1224.9
Washington,2020-10-07,402,546,1214.2
Washington,2020-10-06,470,554,1208.9
Washington,2020-10-05,414,547,1202.8
Washington,2020-10-04,504,539,1197.3
Washington,2020-10-03,819,533,1190.7
Washington,2020-10-02,598,511,1180
Washington,2020-10-01,621,571,1172.1
Washington,2020-09-30,455,571,1163.9
Washington,2020-09-29,419,576,1158
Washington,2020-09-28,362,564,1152.5
Washington,2020-09-27,460,558,1147.7
Washington,2020-09-26,666,551,1141.7
Washington,2020-09-25,1016,535,1132.9
Washington,2020-09-24,619,462,1119.6
Washington,2020-09-23,496,434,1111.5
Washington,2020-09-22,329,407,1104.9
Washington,2020-09-21,320,415,1100.6
Washington,2020-09-20,415,413,1096.4
Washington,2020-09-19,554,409,1091
Washington,2020-09-18,504,405,1083.7
Washington,2020-09-17,425,417,1077.1
Washington,2020-09-16,307,424,1071.5
Washington,2020-09-15,381,415,1067.5
Washington,2020-09-14,307,388,1062.5
Washington,2020-09-13,390,402,1058.4
Washington,2020-09-12,522,397,1053.3
Washington,2020-09-11,587,396,1046.4
Washington,2020-09-10,477,392,1038.7
Washington,2020-09-09,244,407,1032.5
Washington,2020-09-08,190,426,1029.3
Washington,2020-09-07,406,451,1026.8
Washington,2020-09-06,357,432,1021.4
Washington,2020-09-05,516,458,1016.8
Washington,2020-09-04,554,466,1010
Washington,2020-09-03,585,475,1002.7
