"","ID","variable","value"
"1",1,"f1","salmon"
"2",1,"f2",NA
"3",1,"f3",NA
"4",1,"f4",NA
"5",1,"f5",NA
"6",1,"f6",NA
"7",2,"f1","CPS"
"8",2,"f2"," salmon"
"9",2,"f3"," squid"
"10",2,"f4",NA
"11",2,"f5",NA
"12",2,"f6",NA
"13",3,"f1","dungeness crab"
"14",3,"f2",NA
"15",3,"f3",NA
"16",3,"f4",NA
"17",3,"f5",NA
"18",3,"f6",NA
"19",4,"f1","salmon"
"20",4,"f2"," sea urchin"
"21",4,"f3"," sea cucumber"
"22",4,"f4",NA
"23",4,"f5",NA
"24",4,"f6",NA
"25",5,"f1","geoduck"
"26",5,"f2"," sea cucumber"
"27",5,"f3",NA
"28",5,"f4",NA
"29",5,"f5",NA
"30",5,"f6",NA
"31",6,"f1","salmon"
"32",6,"f2",NA
"33",6,"f3",NA
"34",6,"f4",NA
"35",6,"f5",NA
"36",6,"f6",NA
"37",7,"f1","dungeness crab"
"38",7,"f2",NA
"39",7,"f3",NA
"40",7,"f4",NA
"41",7,"f5",NA
"42",7,"f6",NA
"43",8,"f1","dungeness crab"
"44",8,"f2"," Purchasing of seafood product"
"45",8,"f3",NA
"46",8,"f4",NA
"47",8,"f5",NA
"48",8,"f6",NA
"49",9,"f1","groundfish"
"50",9,"f2",NA
"51",9,"f3",NA
"52",9,"f4",NA
"53",9,"f5",NA
"54",9,"f6",NA
"55",10,"f1","scallops"
"56",10,"f2"," sea urchin"
"57",10,"f3"," sea cucumber"
"58",10,"f4",NA
"59",10,"f5",NA
"60",10,"f6",NA
"61",11,"f1","hake"
"62",11,"f2",NA
"63",11,"f3",NA
"64",11,"f4",NA
"65",11,"f5",NA
"66",11,"f6",NA
"67",12,"f1","HMS"
"68",12,"f2"," salmon"
"69",12,"f3",NA
"70",12,"f4",NA
"71",12,"f5",NA
"72",12,"f6",NA
"73",13,"f1","HMS"
"74",13,"f2",NA
"75",13,"f3",NA
"76",13,"f4",NA
"77",13,"f5",NA
"78",13,"f6",NA
"79",14,"f1","dungeness crab"
"80",14,"f2"," salmon"
"81",14,"f3"," shrimp"
"82",14,"f4",NA
"83",14,"f5",NA
"84",14,"f6",NA
"85",15,"f1","dungeness crab"
"86",15,"f2"," shrimp"
"87",15,"f3",NA
"88",15,"f4",NA
"89",15,"f5",NA
"90",15,"f6",NA
"91",16,"f1","dungeness crab"
"92",16,"f2"," HMS"
"93",16,"f3"," salmon"
"94",16,"f4",NA
"95",16,"f5",NA
"96",16,"f6",NA
"97",17,"f1","salmon"
"98",17,"f2",NA
"99",17,"f3",NA
"100",17,"f4",NA
"101",17,"f5",NA
"102",17,"f6",NA
"103",18,"f1","salmon"
"104",18,"f2",NA
"105",18,"f3",NA
"106",18,"f4",NA
"107",18,"f5",NA
"108",18,"f6",NA
"109",19,"f1","groundfish"
"110",19,"f2"," HMS"
"111",19,"f3"," salmon"
"112",19,"f4",NA
"113",19,"f5",NA
"114",19,"f6",NA
"115",20,"f1","groundfish"
"116",20,"f2",NA
"117",20,"f3",NA
"118",20,"f4",NA
"119",20,"f5",NA
"120",20,"f6",NA
"121",21,"f1","dungeness crab"
"122",21,"f2"," salmon"
"123",21,"f3",NA
"124",21,"f4",NA
"125",21,"f5",NA
"126",21,"f6",NA
"127",22,"f1","dungeness crab"
"128",22,"f2"," HMS"
"129",22,"f3",NA
"130",22,"f4",NA
"131",22,"f5",NA
"132",22,"f6",NA
"133",23,"f1","dungeness crab"
"134",23,"f2"," salmon"
"135",23,"f3"," salmon enhancement"
"136",23,"f4",NA
"137",23,"f5",NA
"138",23,"f6",NA
"139",24,"f1","salmon"
"140",24,"f2",NA
"141",24,"f3",NA
"142",24,"f4",NA
"143",24,"f5",NA
"144",24,"f6",NA
"145",25,"f1","salmon"
"146",25,"f2",NA
"147",25,"f3",NA
"148",25,"f4",NA
"149",25,"f5",NA
"150",25,"f6",NA
"151",26,"f1","dungeness crab"
"152",26,"f2"," salmon"
"153",26,"f3"," shrimp"
"154",26,"f4",NA
"155",26,"f5",NA
"156",26,"f6",NA
"157",27,"f1","groundfish"
"158",27,"f2"," HMS"
"159",27,"f3"," salmon"
"160",27,"f4",NA
"161",27,"f5",NA
"162",27,"f6",NA
"163",28,"f1","dungeness crab"
"164",28,"f2"," groundfish"
"165",28,"f3"," HMS"
"166",28,"f4"," salmon"
"167",28,"f5"," shrimp"
"168",28,"f6"," squid"
"169",29,"f1","razor clams"
"170",29,"f2",NA
"171",29,"f3",NA
"172",29,"f4",NA
"173",29,"f5",NA
"174",29,"f6",NA
"175",30,"f1","salmon"
"176",30,"f2",NA
"177",30,"f3",NA
"178",30,"f4",NA
"179",30,"f5",NA
"180",30,"f6",NA
"181",31,"f1","sea urchin"
"182",31,"f2"," sea cucumber"
"183",31,"f3",NA
"184",31,"f4",NA
"185",31,"f5",NA
"186",31,"f6",NA
"187",32,"f1","salmon"
"188",32,"f2",NA
"189",32,"f3",NA
"190",32,"f4",NA
"191",32,"f5",NA
"192",32,"f6",NA
"193",33,"f1","salmon"
"194",33,"f2",NA
"195",33,"f3",NA
"196",33,"f4",NA
"197",33,"f5",NA
"198",33,"f6",NA
"199",34,"f1","salmon"
"200",34,"f2",NA
"201",34,"f3",NA
"202",34,"f4",NA
"203",34,"f5",NA
"204",34,"f6",NA
"205",35,"f1","HMS"
"206",35,"f2"," salmon"
"207",35,"f3",NA
"208",35,"f4",NA
"209",35,"f5",NA
"210",35,"f6",NA
"211",36,"f1","salmon"
"212",36,"f2",NA
"213",36,"f3",NA
"214",36,"f4",NA
"215",36,"f5",NA
"216",36,"f6",NA
"217",37,"f1","HMS"
"218",37,"f2"," salmon"
"219",37,"f3",NA
"220",37,"f4",NA
"221",37,"f5",NA
"222",37,"f6",NA
"223",38,"f1","salmon"
"224",38,"f2",NA
"225",38,"f3",NA
"226",38,"f4",NA
"227",38,"f5",NA
"228",38,"f6",NA
"229",39,"f1","HMS"
"230",39,"f2"," salmon"
"231",39,"f3",NA
"232",39,"f4",NA
"233",39,"f5",NA
"234",39,"f6",NA
"235",40,"f1","sea urchin"
"236",40,"f2"," geoduck"
"237",40,"f3"," sea cucumber"
"238",40,"f4",NA
"239",40,"f5",NA
"240",40,"f6",NA
"241",41,"f1","dungeness crab"
"242",41,"f2"," salmon"
"243",41,"f3",NA
"244",41,"f4",NA
"245",41,"f5",NA
"246",41,"f6",NA
"247",42,"f1","HMS"
"248",42,"f2",NA
"249",42,"f3",NA
"250",42,"f4",NA
"251",42,"f5",NA
"252",42,"f6",NA
"253",43,"f1","dungeness crab"
"254",43,"f2"," salmon"
"255",43,"f3",NA
"256",43,"f4",NA
"257",43,"f5",NA
"258",43,"f6",NA
"259",44,"f1","salmon"
"260",44,"f2"," halibut"
"261",44,"f3",NA
"262",44,"f4",NA
"263",44,"f5",NA
"264",44,"f6",NA
"265",45,"f1","CPS"
"266",45,"f2"," dungeness crab"
"267",45,"f3"," groundfish"
"268",45,"f4"," HMS"
"269",45,"f5"," shrimp"
"270",45,"f6"," squid"
"271",46,"f1","salmon"
"272",46,"f2",NA
"273",46,"f3",NA
"274",46,"f4",NA
"275",46,"f5",NA
"276",46,"f6",NA
"277",47,"f1","dungeness crab"
"278",47,"f2"," salmon"
"279",47,"f3",NA
"280",47,"f4",NA
"281",47,"f5",NA
"282",47,"f6",NA
"283",48,"f1","salmon"
"284",48,"f2",NA
"285",48,"f3",NA
"286",48,"f4",NA
"287",48,"f5",NA
"288",48,"f6",NA
"289",49,"f1","groundfish"
"290",49,"f2"," HMS"
"291",49,"f3"," salmon"
"292",49,"f4",NA
"293",49,"f5",NA
"294",49,"f6",NA
"295",50,"f1","dungeness crab"
"296",50,"f2"," groundfish"
"297",50,"f3"," hake"
"298",50,"f4",NA
"299",50,"f5",NA
"300",50,"f6",NA
"301",51,"f1","dungeness crab"
"302",51,"f2"," HMS"
"303",51,"f3"," salmon"
"304",51,"f4",NA
"305",51,"f5",NA
